节点详细信息
节点ID,层级,原始ID,内容长度,子节点,内容
layer0_node5,0,5,471,,"帆船比赛中，运动员可借助风力计测定风速的大小和方向，测出的结果在航海学中称为视风风速，视风风速对应的向量，是真风风速对应的向量与船行风速对应的向量之和，其中船行风速对应的向量与船速对应的向量大小相等，方向相反。图1给出了部分风力等级、名称与风速大小的对应关系。已知某帆船运动员在某时刻测得的视风风速对应的向量与船速对应的向量如图2（风速的大小和向量的大小相同，单位 $(\mathrm{m} / \mathrm{s})$ ，则真风为 
\begin{tabular}{|c|c|c|}
\hline 等级 & 风速大小 $\mathrm{m} / \mathrm{s}$ & 名称 \\
\hline 2 & $1.1 \sim 3.3$ & 轻风 \\
\hline 3 & $3.4 \sim 5.4$ & 微风 \\
\hline 4 & $5.5 \sim 7.9$ & 和风 \\
\hline 5 & $8.0 \sim 10.1$ & 劲风 \\
\hline
\end{tabular}
A．轻风
B．微风
C．和风
D．劲风"
layer0_node6,0,6,137,,"若圆 $x^{2}+(y+2)^{2}=r^{2}(r>0)$ 上到直线 $y=\sqrt{3} x+2$ 的距离为 1 的点有且仅有 2 个，则 $r$ 的取值范围是

A．$(0,1)$
B．$(1,3)$
C．$(3,+\infty)$
D．$(0,+\infty)$"
layer0_node7,0,7,124,,"若实数 $x, y, z$ 满足 $2+\log _{2} x=3+\log _{3} y=5+\log _{5} z$ ，则 $x, y, z$ 的大小关系不可能是 
A．$x>y>z$
B．$x>z>y$
C．$y>x>z$
D．$y>z>x$"
layer0_node8,0,8,160,,"在正三棱柱 $A B C-A_{1} B_{1} C_{1}$ 中，$D$ 为 $B C$ 中点，则
A．$A D \perp A_{1} C$
B．$B_{1} C \perp$ 平面 $A A_{1} D$
C．$C C_{1} / /$ 平面 $A A_{1} D$
D．$A D / / A_{1} B_{1}$"
layer0_node9,0,9,225,,"设抛物线 $C: y^{2}=6 x$ 的焦点为 $F$ ，过 $F$ 的直线交 $C$ 于 $A 、 B$ ，过 $F$ 且垂直于 $A B$ 的直线交准线 $l: x=-\frac{3}{2}$ 于 $E$ ，过点 $A$ 作准线 $l$ 的垂线，垂足为 $D$ ，则 
A．$|A D|=|A F|$
B．$|A E|=|A B|$
C．$|A B| \geqslant 6$
D．$|A E| \cdot|B E| \geqslant 18$"
layer1_cluster0,1,cluster_1_0,36,"layer0_node1, layer0_node4, layer0_node7, layer0_node11, layer0_node12, layer0_node15, layer0_node18","集合  
函数  
对数  
导数  
等比数列  
数列  
三角函数"
layer1_cluster1,1,cluster_1_1,4,"layer0_node2, layer0_node3, layer0_node5, layer0_node6, layer0_node8, layer0_node9, layer0_node10, layer0_node13, layer0_node14, layer0_node16, layer0_node17",解析几何

层次统计
层级,节点数,平均内容长度,总内容长度
0,19,196.5,3733
1,2,20.0,40
