节点详细信息
节点ID,层级,原始ID,内容长度,子节点,内容
layer0_node23,0,23,282,,"如图，四边形 $ABCD$ 中，$AB \parallel CD$, $\angle DAB = 90^\circ$，$F$ 为 $CD$ 中点，$E$ 在 $AB$ 上，$EF \parallel AD$，$AB = 3AD$, $CD = 2AD$，将四边形 $EFDA$ 沿 $EF$ 翻折至四边形 $EFD'A'$，使得 $EFD'A'$ 与 $EFCB$ 所成的二面角为 $60^\circ$。\\
        1. 证明：$A'B \perp CD'F$；\\
        2. 求 $BCD'$ 与 $EFD'A'$ 所成二面角的正弦值。\\"
layer0_node24,0,24,104,,"集合 $U=1,2,3,4,5 A=1,3 B=2,3,5$ ，则 $C_{U}(A \cup B)=$
A．$\{1,2,3,4\}$
B．$\{2,3,4\}$
C．$\{2,4\}$
D．$\{4\}$"
layer0_node25,0,25,64,,"＂$x=0$＂是＂ $\sin 2 x=0$＂的
A．充分不必要条件
B．必要不充分条件
C．充要条件
D．既不充分也不必要条件"
layer0_node26,0,26,238,,"下列说法错误的是
A．$X \sim N\left(\mu, \sigma^{2}\right)$ ，若 $P(X \leqslant \mu-\sigma)=P(X \geqslant \mu+\sigma)$
B．$X \sim N\left(1,2^{2}\right), Y \sim N\left(2,2^{2}\right)$ ，则 $P(X<1)<P(Y<2)$
C．$|r|$ 越接近于 1 ，线性相关程度越强
D．$|r|$ 越接近于 0 ，线性相关程度越弱"
layer0_node27,0,27,75,,"$S_{n}=-n^{2}+8 n$ ．则 $\left|a_{n}\right|$ 前 12 项和
A. 112
B. 48
C. 80
D. 64"
layer0_node28,0,28,76,,"$f(x)=0.3^{x}-\sqrt{x}$ 的零点在
A．$(0,0.3)$
B．$(0.3,0.5)$
C．$(0.5,1)$
D．$(1,2)$"
layer0_node29,0,29,291,,"$f(x)=\sin (\omega x+\varphi)(\omega>0,-\pi<\varphi<\pi)$ ，在 $\left[-\frac{\pi}{12}, \frac{\pi}{12}\right]$ 上单调递增，且 $x=\frac{\pi}{12}$ 为它的一条对称轴， $\left(\frac{\pi}{3}, 0\right)$ 是它的一个对称中心，当 $x \in\left[0, \frac{\pi}{2}\right]$ 时，$f(x)$ 的最小值为
A．$-\frac{\sqrt{3}}{2}$
B．$-\frac{1}{2}$
C． 1
D． 0"
layer0_node3,0,3,157,,"若点 $(a, 0)(a>0)$ 是函数 $y=2 \tan \left(x-\frac{\pi}{3}\right)$ 的图象的一个对称中心，则 $a$ 的最小值为
A．$\frac{\pi}{4}$
B．$\frac{\pi}{2}$
C．$\frac{\pi}{3}$
D．$\frac{4 \pi}{3}$"
layer0_node4,0,4,174,,"设 $f(x)$ 是定义在 $R$ 上且周期为 2 的偶函数，当 $2 \leqslant x \leqslant 3$ 时，$f(x)=5-2 x$ ，则 $f\left(-\frac{3}{4}\right)=$
A．$-\frac{1}{2}$
B．$-\frac{1}{4}$
C．$\frac{1}{4}$
D．$\frac{1}{2}$"
layer0_node5,0,5,137,,"若圆 $x^{2}+(y+2)^{2}=r^{2}(r>0)$ 上到直线 $y=\sqrt{3} x+2$ 的距离为 1 的点有且仅有 2 个，则 $r$ 的取值范围是

A．$(0,1)$
B．$(1,3)$
C．$(3,+\infty)$
D．$(0,+\infty)$"
layer0_node6,0,6,160,,"在正三棱柱 $A B C-A_{1} B_{1} C_{1}$ 中，$D$ 为 $B C$ 中点，则
A．$A D \perp A_{1} C$
B．$B_{1} C \perp$ 平面 $A A_{1} D$
C．$C C_{1} / /$ 平面 $A A_{1} D$
D．$A D / / A_{1} B_{1}$"
layer0_node7,0,7,61,,若直线 $y=2 x+5$ 是曲线 $y=\mathrm{e}^{x}+x+a$ 的切线，则 $a=$ $\qquad$。
layer0_node8,0,8,51,,若一个等比数列的前 4 项和为 4 ，前 8 项和为 68 ，则该等比数列的公比为 $\qquad$。
layer0_node9,0,9,84,,一个箱子里有 5 个相同的球，分别以 $1 \sim 5$ 标号，从中有放回地取三次，记至少取出一次的球的个数 $X$ ，则数学期望 $E(X)=$ $\qquad$。
layer1_cluster0,1,cluster_1_0,52,"layer0_node5, layer0_node8, layer0_node11, layer0_node13, layer0_node15, layer0_node16, layer0_node18, layer0_node25, layer0_node26, layer0_node27","解析几何  
数列  
数列  
复数  
不等式  
数列  
数列  
逻辑  
概率统计  
数列"
layer1_cluster1,1,cluster_1_1,4,"layer0_node3, layer0_node4, layer0_node7, layer0_node10, layer0_node17, layer0_node19, layer0_node20, layer0_node21, layer0_node22, layer0_node23, layer0_node28, layer0_node29",三角函数
layer1_cluster2,1,cluster_1_2,2,"layer0_node0, layer0_node1, layer0_node2, layer0_node6, layer0_node9, layer0_node12, layer0_node14, layer0_node24",代数

层次统计
层级,节点数,平均内容长度,总内容长度
0,30,173.3,5199
1,3,19.3,58
