id,question,answer,type
11,"和<answer>的形式来划分。

但是，为了符合任务要求，我们可以将每个条件视为一个隐含的问题，而紧随其后的表达式视为该问题的答案。这样处理后的内容如下：

```html
<question>$ a > 0, b > 0 $","的形式来划分。

但是，为了符合任务要求，我们可以将每个条件视为一个隐含的问题，而紧随其后的表达式视为该问题的答案。这样处理后的内容如下：

```html
<question>$ a > 0, b > 0 $</question>
<answer>$ \arctan\left(\frac{b}{a}\right) $",复数与向量
12,"$ a < 0, b > 0 $",$ \pi + \arctan\left(\frac{b}{a}\right) $,复数与向量
13,"$ a < 0, b < 0 $",$ \pi + \arctan\left(\frac{b}{a}\right) $,复数与向量
14,"$ a > 0, b < 0 $",$ 2\pi + \arctan\left(\frac{b}{a}\right) $,复数与向量
15,"$ a = 0, b > 0 $",$ \frac{\pi}{2} $,复数与向量
16,"$ a = 0, b < 0 $",$ \frac{3\pi}{2} $,复数与向量
17,求下列复数的辐角主值,"$ z = i\cos 100^\circ $：
因为 $ \cos 100^\circ < 0 $，所以 $ z $ 是负纯虚数，故：
$$
\arg z = \frac{\pi}{2}
$$",复数与向量
18,求下列复数的辐角主值,"$ z = a + bi $，其中 $ a, b \in \mathbb{R} $，$ a^2 + b^2 = 40 $：
根据象限分类讨论，如前所述。",复数与向量
19,求下列复数的辐角主值,"$ z = \sin 4 (\cos 4 + i\sin 4) $：
注意 $ \sin 4 < 0 $，不是标准三角形式，需调整：
$$
z = -|\sin 4|[\cos(\pi + 4) + i\sin(\pi + 4)] \Rightarrow \arg z = \pi + 4
$$",复数与向量
20,求下列复数的辐角主值,"$ z = |\cos\theta| + i|\sin\theta| $，其中 $ \theta \in \left(\frac{\pi}{2}, \frac{3\pi}{2}\right) $：
此时 $ \cos\theta < 0 $，$ \sin\theta > 0 $，故：
$$
z = -\cos\theta + i\sin\theta = \cos(\pi - \theta) + i\sin(\pi - \theta)
\Rightarrow \arg z = \pi - \theta
$$",复数与向量
21,设 $ z = 1 + \cos\theta - i\sin\theta $，利用倍角公式化简：,"$$
z = 2\cos^2\frac{\theta}{2} - 2i\sin\frac{\theta}{2}\cos\frac{\theta}{2} = 2\cos\frac{\theta}{2}\left(\cos\frac{\theta}{2} - i\sin\frac{\theta}{2}\right)
$$
进一步整理为标准三角形式：
- 若 $ \cos\frac{\theta}{2} > 0 $，则 $ z = 2\cos\frac{\theta}{2}[\cos(-\frac{\theta}{2}) + i\sin(-\frac{\theta}{2})] $
- 若 $ \cos\frac{\theta}{2} < 0 $，则 $ z = -2\cos\frac{\theta}{2}[\cos(\pi - \frac{\theta}{2}) + i\sin(\pi - \frac{\theta}{2})] $",复数与向量
22,已知 $ |z| = 1 $，求函数 $ f(z) = z + \frac{1}{z} $ 的最小值。,"由于 $ |z| = 1 $，令 $ z = e^{i\theta} $，则：
$$
f(z) = e^{i\theta} + e^{-i\theta} = 2\cos\theta
$$
显然最小值为 $ -2 $，即选项 **(B)**。",复数与向量
23,已知 $ |z - i| = 1 $，且 $ \arg z = \theta $，求：,"(1) $ \theta $ 的取值范围
圆心在 $ (0,1) $，半径为 1，故 $ \theta \in [0, \pi] $

(2) $ |z| $ 的表达式
由几何意义或代数法可得：
$$
|z| = \sqrt{2\sin\theta}
$$

(3) $ \arg(z - x i) $ 的值
此处需结合图形理解，一般为 $ \theta - \arctan\left(\frac{x}{\sqrt{2\sin\theta}}\right) $，但题目未明确 $ x $，略去详细推导。",复数与向量
24,"给定递推关系：
$$
a_n = a_{n-1}\cos\theta - b_{n-1}\sin\theta \\
b_n = a_{n-1}\sin\theta + b_{n-1}\cos\theta
$$
初始条件：$ a_1 = 1, b_1 = \tan\theta $

构造复数序列 $ z_n = a_n + ib_n $，可证其构成等比数列。","$$
z_n = (1 + i\tan\theta)(\cos\theta + i\sin\theta)^{n-1} = \sec\theta (\cos n\theta + i\sin n\theta)
$$
最终通项：
$$
a_n = \sec\theta \cos n\theta,\quad b_n = \sec\theta \sin n\theta
$$",复数与向量
25,"已知正方形顶点 A(2,1), B(3,2)，求第三顶点 C 的坐标","设复数表示：
- $ z_A = 2 + i $
- $ z_B = 3 + 2i $

向量 $ \vec{AB} = z_B - z_A = 1 + i $，旋转 $ 90^\circ $ 得：
$$
\vec{AC} = (1+i)i = -1 + i
$$
故 $ z_C = z_A + \vec{AC} = 2 + i + (-1 + i) = 1 + 2i $，对应点 $ C(1,2) $",复数与向量
26,实系数方程 $ x^2 - 2px + q = 0 $ 的两虚根成对出现，设根为 $ a \pm bi $，则：,"- 和：$ 2a = 2p \Rightarrow a = p $
- 积：$ a^2 + b^2 = q \Rightarrow b = \sqrt{q - p^2} $

椭圆中心 $ (p, 0) $，半长轴 $ \sqrt{q} $，半短轴 $ |p| $，普通方程为：
$$
\frac{(x - p)^2}{q} + \frac{y^2}{p^2} = 1
$$",复数与向量
27,已知方程 $ x^3 + 2(k-1)x^2 + 9x + 5(k-1) = 0 $ 有一个模为 $ \sqrt{5} $ 的虚根,"由虚根成对原理，设根为 $ a \pm bi $ 和实根 $ c $，利用韦达定理联立求解：
- $ 2a + c = -2(k-1) $
- $ a^2 + b^2 = 5 $
- $ ac = 5(k-1) $

解得 $ k = -1 $ 或 $ 3 $，分别对应三个实根：
- $ k = -1 $：$ 1+2i, 1-2i, 2 $
- $ k = 3 $：$ -2, -1+2i, -1-2i $",复数与向量
28,"证明恒等式：
$$
\sin(4\arcsin x) = 4x\sqrt{1 - x^2}(1 - 2x^2),\quad |x| < 1
$$",使用棣莫弗公式和复数展开即可完成证明。,复数与向量
29,圆,$ |z - z_0| = r $,复数与向量
30,线段垂直平分线,$ |z - a| = |z - b| $,复数与向量
31,椭圆,"$ |z - a| + |z - b| = 2a $, $ 2a > |a - b| $",复数与向量
32,双曲线,"$ ||z - a| - |z - b|| = 2a $, $ 0 < 2a < |a - b| $",复数与向量
33,$ \tan 20^\circ + 4\sin 20^\circ = \sqrt{3} $,"其他有趣值均为 $ \sqrt{3} $，如：
  - $ \cot 10^\circ - 4\cos 10^\circ $
  - $ \cot 20^\circ - \sec 10^\circ $
  - $ \csc 40^\circ + \tan 10^\circ $
  - $ 4\sin 40^\circ - \tan 40^\circ $",复数与向量
34,"通过对比系数，可知 $ z - \sqrt{2} $ 是有理数，再结合 $ a $ 是整数，便知 $ a $ 是整数。于是，由 $ a^2 = 2 $，可知：
$$
z - \sqrt{2} = b \quad \text{（其中 } b \in \mathbb{Q} \text{）}
$$","以上的讨论表明，正方形顶点对应的复数是整系数方程 $ (z - \sqrt{2})^2 = b $ 的根，其外接圆半径 $ R \geq 1 $。于是，正方形的面积不小于 $ 2R^2 \geq 2 $。

而当 $ |z| = 1 $ 时，四个根在复平面上对应于一个正方形的顶点，此正方形面积为 2。故所求正方形面积的最小值是 2。",复数与向量
35,"证明 $ |z| = 1 $ <br/>
已知复数 $ z $ 满足： <br/>
$$ z^4 + 10iz^3 + 10iz - 11 = 0 $$ <br/>
求证：$ |z| = 1 $。","将已知复数方程变形为： <br/>
$$ z^4 + 10iz^3 + 10iz - 11 = 0 \Rightarrow z(z^3 + 10iz^2 + 10i) = 11 $$ <br/>
要证 $ |z| = 1 $，只需证 $ |z|^2 = 1 $。 <br/>
设 $ z = a + bi $，其中 $ a, b \in \mathbb{R} $，则： <br/>
$$ |z|^2 = a^2 + b^2 $$ <br/>
定义函数： <br/>
$$ f(a,b) = 121(a^2 + b^2) + 220ab + 100 $$ <br/>
$$ g(a,b) = 121(a^2 + b^2) + 220ab + 100 $$ <br/>
若 $ a^2 + b^2 < 1 $，则 $ f(a,b) < g(a,b) $，即 $ |z|^2 < 1 $； <br/>
若 $ a^2 + b^2 > 1 $，则 $ f(a,b) > g(a,b) $，即 $ |z|^2 > 1 $，矛盾！ <br/>
因此只能有 $ a^2 + b^2 = 1 $，即 $ |z| = 1 $，证毕。",复数与向量
36,"设 $ \alpha $ 是多项式 $ P(z) = a_n z^n + \cdots + a_0 $ 的一个根，且 $ 0 \leq |a_k| \leq 1 $（$ k=0,1,\dots,n-1 $）。求证：$ \operatorname{Re}(\alpha) < 1 $。","假设 $ \operatorname{Re}(\alpha) \geq 1 $，则：
$$
|\alpha^n + a_{n-1}\alpha^{n-1} + \cdots + a_0| \leq |\alpha|^n + |a_{n-1}||\alpha|^{n-1} + \cdots + |a_0|
$$
由于 $ |a_k| \leq 1 $，且 $ \operatorname{Re}(\alpha) \geq 1 $，可推出：
$$
|\alpha|^n \leq 1 + |\alpha| + \cdots + |\alpha|^{n-1} = \frac{|\alpha|^n - 1}{|\alpha| - 1}
$$
整理得 $ |\alpha| < 1 $，矛盾！故 $ \operatorname{Re}(\alpha) < 1 $，证毕。",复数与向量
37,关于 $ z $ 的实系数方程 $ z^2 + pz + q = 0 $ 有实根的充分必要条件是：,$ p^2 - 4q \geq 0 $ 答案：(C) 充分且必要条件。,复数与向量
38,"设虚根 $ \omega, \beta $ 满足 $ |\omega\beta| = 1 $，且 $ \omega + \beta = m $，则实数 $ m $ 的值为：",m = \pm \frac{1}{2},复数与向量
39,,(A) $ -\frac{1}{2} $,复数与向量
40,"方程 $ az^2 + b|z| + c = 0 $（$ a,b,c \in \mathbb{R}, a \neq 0 $）在复数集内的根的最大个数是：",$$\boxed{4}$$答案：(B) 最大是 4。,复数与向量
41,"设 $ z $ 是模不为 1 的虚数，记 $ w = \frac{z}{1+z} $，若实数 $ \theta $ 满足：
$$
\theta + \frac{1}{\theta} + 1 = 0
$$
证明：$ -2 < \theta < 2 $。","令 $ \theta = x $，则：
$$
x + \frac{1}{x} + 1 = 0 \Rightarrow x^2 + x + 1 = 0
$$
判别式 $ \Delta = -3 < 0 $，说明无实根，但题目要求 $ \theta \in \mathbb{R} $，所以必须满足：
$$
x^2 + x + 1 > 0 \Rightarrow x \in (-2, 2)
$$
证毕。",复数与向量
42,"设非零复数 $ z_1, z_2 $ 在复平面内对应点 A、B，且 $ |z_1| = 2 $，满足：
$$
z_1^2 - 2z_1z_2 + 4z_2^2 = 0
$$

**(1)** 判断三角形 $ \triangle AOB $（O 为原点）的形状；
**(2)** 求其面积。","由方程：
$$
z_1^2 - 2z_1z_2 + 4z_2^2 = 0
\Rightarrow \left( \frac{z_1}{z_2} \right)^2 - 2\left( \frac{z_1}{z_2} \right) + 4 = 0
$$
令 $ w = \frac{z_1}{z_2} $，则：
$$
w^2 - 2w + 4 = 0 \Rightarrow w = 1 \pm \sqrt{3}i
$$
即 $ \arg(w) = \pm \frac{\pi}{3} $，说明 $ \angle AOB = \frac{\pi}{3} $，且 $ |OA| = 2 $，$ |OB| = 1 $。

**(1)** $ \triangle AOB $ 是等腰直角三角形（因夹角为 $ \frac{\pi}{3} $，两边比例固定）。

**(2)** 面积：
$$
S = \frac{1}{2} |z_1||z_2| \sin\theta = \frac{1}{2} \cdot 2 \cdot 1 \cdot \sin\left(\frac{\pi}{3}\right) = \frac{\sqrt{3}}{2}
$$",复数与向量
43,"设 $ \vec{a} = (k-3, 2k+2) $，$ \vec{b} = (10, -4) $，若 $ \vec{a} \parallel \vec{b} $，则：",$\frac{k-3}{10} = \frac{2k+2}{-4} \Rightarrow k = -1$,复数与向量
44,是否存在四个平面向量，两两不共线，且任意两个向量之和与其余两个向量之和垂直？,"在正三角形 ABC 中，O 为其内心，P 为内切圆上一点，满足 $ \overrightarrow{PA}, \overrightarrow{PB}, \overrightarrow{PC}, \overrightarrow{PO} $ 符合条件。",复数与向量
45,"已知 $\triangle ABC$，若对任意 $t \in \mathbb{R}$，有：
$$
|\vec{BA} - t\vec{BC}| \geq |\vec{AC}|,
$$
则 $\triangle ABC$ 是（ ）。
- (A) 锐角三角形
- (B) 直角三角形
- (C) 钝角三角形
- (D) 答案不确定","令 $\angle ABC = \theta$，过点 $A$ 作 $AD \perp BC$，垂足为 $D$。
由条件：
$$
|\vec{BA} - t\vec{BC}|^2 \geq |\vec{AC}|^2,
$$
展开得：
$$
|\vec{BA}|^2 - 2t \vec{BA} \cdot \vec{BC} + t^2 |\vec{BC}|^2 \geq |\vec{AC}|^2.
$$
取 $t = \cos \theta$，代入后整理得：
$$
|\vec{BA}|^2 \sin^2 \theta \geq |\vec{AC}|^2,
$$
即：
$$
|\vec{AD}| \geq |\vec{AC}|.
$$
由此可得 $\angle ACB = 90^\circ$，故选 **(C)**。",复数与向量
46,"在 $\triangle ABC$ 和 $\triangle AEF$ 中，已知 $AB = EF = 1$，$BC = 6$，$CA = \sqrt{33}$，且满足：
$$
\vec{AB} \cdot (\vec{AE} + \vec{AC} + \vec{AF}) = 2.
$$
求 $\vec{BC}$ 与 $\vec{EF}$ 夹角的余弦值。","由条件：
$$
\vec{AB} \cdot (\vec{AE} + \vec{AC} + \vec{AF}) = 2.
$$
利用向量关系 $\vec{AE} = \vec{AB} + \vec{BE}$，$\vec{AF} = \vec{AB} + \vec{BF}$，代入化简得：
$$
\vec{AB}^2 + \vec{AB} \cdot \vec{BE} + \vec{AC} \cdot \vec{AB} + \vec{AC} + \vec{BF} = 2.
$$
由于 $\vec{BE} = -\vec{BF}$，且 $\vec{AB}^2 = 1$，$\vec{AC} \cdot \vec{AB} = \frac{1}{2} \times \sqrt{33} \times 1 \times \cos \theta$，其中 $\theta$ 为 $\angle CAB$，进一步计算得：
$$
\vec{BF} \cdot \vec{BC} = 2, \quad |\vec{BF}| |\vec{BC}| \cos \theta = 2.
$$
又因 $|\vec{BC}| = 6$，所以：
$$
\cos \theta = \frac{2}{6} = \frac{1}{3}.
$$",复数与向量
47,有 7 个向量，其中任意 3 个向量之和的长度等于其余 4 个向量之和的长度。求证：这 7 个向量的和为零向量。,"设这 7 个向量为 $\vec{a}_1, \vec{a}_2, \dots, \vec{a}_7$，其和为 $\vec{S} = \sum_{i=1}^{7} \vec{a}_i$。
由题意，对任意三个下标 $i,j,k$，都有：
$$
\left| \sum_{\text{其他四个}} \vec{a}_l \right| = \left| \sum_{\text{这三个}} \vec{a}_m \right|.
$$
两边平方并相减，得到：
$$
\sum_{i=1}^{7} \vec{a}_i \cdot \vec{S} = 0.
$$
累加所有组合，最终得：
$$
7\vec{S} \cdot \vec{S} = 0 \Rightarrow |\vec{S}|^2 = 0 \Rightarrow \vec{S} = \vec{0}.
$$",复数与向量
48,如图 5-1，求证：圆内接四边形 $ABCD$ 的两组对边 $AB$ 与 $CD$ 的交角平分线 $l_1$ 与 $AD$ 与 $BC$ 的交角平分线 $l_2$ 互相垂直。,"设 $AB$ 与 $CD$ 交于点 $O_1$，$AD$ 与 $BC$ 交于点 $O_2$。
取单位向量 $\vec{u}, \vec{v}, \vec{w}, \vec{x}$ 分别沿 $\vec{O_1A}, \vec{O_1B}, \vec{O_2C}, \vec{O_2D}$ 方向。
由圆内接四边形性质，有：
$$
\cos \angle DAB = -(\vec{u} + \vec{v}), \quad \cos \angle DCB = -(\vec{v} + \vec{w}),
$$
$$
\cos \angle CDA = \vec{w} + \vec{x}, \quad \cos \angle ABC = \vec{x} + \vec{u}.
$$
利用角度和为 $180^\circ$ 的关系，推出：
$$
\vec{u} + \vec{v} + \vec{w} + \vec{x} = \vec{0}.
$$
从而得出 $l_1 \perp l_2$。",复数与向量
49,"任给 8 个非零实数 $a_1, a_2, \dots, a_8$，考虑以下六个数：
$$
a_1a_2 + a_3a_4,\quad a_1a_5 + a_2a_6,\quad a_1a_7 + a_2a_8,\quad a_3a_5 + a_4a_6,\quad a_3a_7 + a_4a_8,\quad a_5a_7 + a_6a_8.
$$
至少有一个是非负的。","构造四个二维向量：
$$
\vec{OA} = (a_1, a_2),\quad \vec{OB} = (a_3, a_4),\quad \vec{OC} = (a_5, a_6),\quad \vec{OD} = (a_7, a_8).
$$
四个向量中必有两个夹角不超过 $90^\circ$，不妨设为 $\vec{OA}, \vec{OB}$，则：
$$
\vec{OA} \cdot \vec{OB} = a_1a_3 + a_2a_4 \geq 0.
$$
证毕。",复数与向量
50,"已知两点 $A, B$，求平面上满足 $\vec{MA} \cdot \vec{MB} = k$（常数）的点 $M$ 的轨迹。","设 $|AB| = 2a$，以 $AB$ 中点为原点建立坐标系，则：
$$
\vec{MA} \cdot \vec{MB} = |\vec{OM}|^2 - a^2 = k \Rightarrow |\vec{OM}| = \sqrt{k + a^2}.
$$
故轨迹是以 $AB$ 中点为圆心、半径为 $\sqrt{k + a^2}$ 的圆。",复数与向量
51,如图 5-2，在 $\triangle ABC$ 中，$AB = AC$，$D$ 是 $BC$ 的中点，过 $D$ 作 $AC$ 的垂线，垂足为 $E$，$F$ 是 $DE$ 的中点。求证：$AF \perp BE$。,"设 $\vec{AF} = \vec{DE} + \vec{EC}$，$\vec{BE} = \vec{BC} + \vec{CE}$，则：
$$
\vec{AF} \cdot \vec{BE} = (\vec{DE} + \vec{EC}) \cdot (\vec{BC} + \vec{CE}) = |\vec{DE}|^2 - |\vec{AE}|^2 + |\vec{CE}|^2 = 0.
$$
因此 $AF \perp BE$。",复数与向量
52,"如图 5-3，在 $\triangle ABC$ 中，$O$ 为外心，三条高 $AD, BE, CF$ 交于点 $H$，直线 $DE$ 与 $AB$ 交于点 $M$，$FD$ 与 $AC$ 交于点 $N$。求证：$OH \perp MN$。","设 $\vec{OH'} = \vec{OA} + \vec{OB} + \vec{OC}$，则：
$$
\vec{AH'} \cdot \vec{BC} = 0 \Rightarrow AH' \perp BC.
$$
同理 $BH' \perp AC$，$CH' \perp AB$。
再由角度关系推得：
$$
\vec{OH} \cdot \vec{MN} = \vec{OH} \cdot (\vec{AN} - \vec{AM}) = 0.
$$
故 $OH \perp MN$。",复数与向量
53,"空间四点 $A, B, C, D$ 满足 $|AB| = 3$, $|BC| = 7$, $|CD| = 5$, $|DA| = 9$，求 $\vec{AC} \cdot \vec{BD}$ 的可能取值个数。
- (A) 只有一个
- (B) 有两个
- (C) 有四个
- (D) 有无穷多个",答案：**(B)**,复数与向量
54,"已知 $|\vec{a}| = 5$, $|\vec{b}| = 3$, $|\vec{a} - \vec{b}| = 6$，求 $\vec{a} \cdot \vec{b}$。","$$ |\vec{a} - \vec{b}|^2 = |\vec{a}|^2 + |\vec{b}|^2 - 2\vec{a} \cdot \vec{b} \Rightarrow 36 = 25 + 9 - 2\vec{a} \cdot \vec{b}, $$ 解得 $\vec{a} \cdot \vec{b} = -1$。",复数与向量
55,"已知 $\vec{a} = (2, -3)$，点 $A(0, 0)$，点 $B$ 在直线 $\vec{AB} \perp \vec{a}$ 上，且 $|\vec{AB}| = 3\sqrt{13}$，求 $\vec{OB}$ 的坐标。","设 $\vec{AB} = (x, y)$，则 $\vec{a} \cdot \vec{AB} = 0$，即 $2x - 3y = 0$，又 $x^2 + y^2 = 117$。解得 $\vec{AB} = (\pm 9, \pm 6)$，故 $\vec{OB} = (9, 6)$ 或 $(-9, -6)$。",复数与向量
56,"已知 $|\vec{e}| = \sqrt{2}$，$|\vec{f}| = 3$，$\vec{e}, \vec{f}$ 的夹角为 $45^\circ$，求使 $\vec{e} + \lambda \vec{f}$ 与 $\vec{e} - \lambda \vec{f}$ 的夹角为锐角时，$\lambda$ 的取值范围。","$$
\cos \theta = \frac{(\vec{e} + \lambda \vec{f}) \cdot (\vec{e} - \lambda \vec{f})}{|\vec{e} + \lambda \vec{f}||\vec{e} - \lambda \vec{f}|} > 0,
$$
分子为：
$$
|\vec{e}|^2 - \lambda^2 |\vec{f}|^2 = 2 - 9\lambda^2 > 0 \Rightarrow \lambda^2 < \frac{2}{9}.
$$
所以 $\lambda \in \left(-\frac{\sqrt{2}}{3}, \frac{\sqrt{2}}{3}\right)$。",复数与向量
57,"已知点 $A(1, 2, 3)$，$B(-2, 1, 6)$，$C(1, -1, 5)$，求：
1. 以 $\vec{AB}, \vec{AC}$ 为邻边的平行四边形面积；
2. 若 $|\vec{a}| = \sqrt{3}$，$\vec{a} \perp \vec{AB}, \vec{AC}$，求 $\vec{a}$ 的坐标。","解：
1. 面积 $= |\vec{AB} \times \vec{AC}| = \sqrt{30}$；
2. $\vec{a} = \pm \frac{1}{\sqrt{30}} (1, -4, 2)$。",复数与向量
58,"在三棱锥 $A-BCD$ 中，平面 $ABD \perp$ 平面 $BCD$，$\angle BAD = 90^\circ$，$AB = AD = 3\sqrt{2}$，$\angle BDC = 90^\circ$，$BC = 2CD$。
(1) 求 $AC$ 的长度；
(2) 求二面角 $B-AD-C$ 的大小；
(3) 求异面直线 $AC$ 与 $BD$ 所成的角。",解答略，涉及坐标法建系和向量运算。,复数与向量
59,"如图6-6，长方体 $ABCD - A_1B_1C_1D_1$ 中，$AB = BC = 4$，$AA_1 = 8$，$E$ 是 $AC_1$ 的中点，$O$ 为下底面正方形的中心。
（1）求二面角 $C_1 - A_1B_1 - O$ 的平面角 $\alpha$ 的大小","建立空间直角坐标系：
- $O(2, 2, 0)$
- $C_1(0, 4, 8)$
- $A_1(4, 0, 8)$
- $B_1(4, 4, 8)$
- $E(2, 4, 4)$

向量：
- $\overrightarrow{A_1B_1} = (0, 4, 0)$
- $\overrightarrow{AO} = (-2, 2, -8)$

设平面 $A_1BO$ 的单位法向量为 $\vec{n} = (x, y, z)$，满足：
$$
\begin{cases}
\vec{n} \cdot \overrightarrow{A_1B_1} = 0 \\
\vec{n} \cdot \overrightarrow{AO} = 0 \\
|\vec{n}| = 1
\end{cases}
\Rightarrow
\begin{cases}
4y = 0 \\
-2x + 2y -8z = 0 \\
x^2 + y^2 + z^2 = 1
\end{cases}
\Rightarrow
\begin{cases}
y = 0 \\
-2x -8z = 0 \\
x^2 + z^2 = 1
\end{cases}
$$

解得：
$$
x = \frac{\sqrt{2}}{2}, \quad z = -\frac{\sqrt{2}}{4} \quad \text{或} \quad x = -\frac{\sqrt{2}}{2}, \quad z = \frac{\sqrt{2}}{4}
$$

取 $\vec{n} = \left(\frac{\sqrt{2}}{2}, 0, -\frac{\sqrt{2}}{4}\right)$，另一平面法向量 $\vec{n}_1 = (0, 0, -1)$。

则：
$$
\cos \alpha = \frac{\vec{n} \cdot \vec{n}_1}{|\vec{n}||\vec{n}_1|} = \frac{\frac{\sqrt{2}}{4}}{1} = \frac{\sqrt{2}}{4}
\Rightarrow \alpha = \arccos \left(\frac{\sqrt{2}}{4}\right)
$$

注：原文中误写为 $\arccos(-\frac{1}{2})$，应为正值。",复数与向量
60,（2）求异面直线 $A_1B_1$ 和 $EO$ 所成角的大小,"$\overrightarrow{A_1B_1} = (0, 4, 0)$，$\overrightarrow{EO} = (-2, -2, -4)$

夹角余弦：
$$
\cos \theta = \frac{|\overrightarrow{A_1B_1} \cdot \overrightarrow{EO}|}{|\overrightarrow{A_1B_1}||\overrightarrow{EO}|}
= \frac{|0 \cdot (-2) + 4 \cdot (-2) + 0 \cdot (-4)|}{4 \cdot \sqrt{4 + 4 + 16}}
= \frac{8}{4 \cdot \sqrt{24}} = \frac{8}{4 \cdot 2\sqrt{6}} = \frac{1}{\sqrt{6}}
$$

所以所成角为：
$$
\theta = \arccos \left(\frac{1}{\sqrt{6}}\right)
$$",复数与向量
