id,question,answer,type
11,"在 $\triangle ABC$ 中，$\angle A = 60^\circ$，点 $P$ 满足 $PA = 6$, $PB = 7$, $PC = 10$，求 $\triangle ABC$ 面积的最大值。","通过引入引理（关于凸四边形对角线夹角的关系），并结合 Ptolemy 不等式，最终得出：
$$
S_{\triangle ABC} \leq 36 + 22\sqrt{3},
$$
当且仅当 $A,P,C,D$ 四点共圆时取等。",几何不等式
12,若 $A'$、$B'$、$C'$ 分别为 $\triangle ABC$ 的外角平分线上的点，则：,$A'B' + A'C' > AB + AC.$,几何不等式
13,"若 $D,E,F$ 分别为 $\triangle ABC$ 边 $BC,CA,AB$ 上的点，$S$ 为面积，$R$ 为外接圆半径，则：",$DE + EF + FD \geq \frac{8S}{R}.$,几何不等式
14,"若 $E,F$ 分别在射线 $AC,AB$ 上，则：","$|AB - AC| + |AE - AF| \geq |BE - CF|,$ 等号成立当且仅当 $AB = AC$ 且 $AE = AF$。",几何不等式
15,在六边形 $A_1A_2\ldots A_6$ 内存在一点 $O$，使得 $\angle A_iOA_{i+1} = \frac{\pi}{3}$，且 $OA_1 > OA_2 > \cdots > OA_6$，则：,$A_1A_2 + A_3A_4 + A_5A_6 < A_2A_3 + A_4A_5 + A_6A_1.$,几何不等式
16,,$70 + 6d > AB \cdot AC \tag{1}$,几何不等式
17,,$PA^2 + PB^2 - PC^2 - PD^2 = 2AB \cdot BD = -AB \cdot AC \tag{2}$,几何不等式
18,,$AB \cdot AC < 884 + 48\sqrt{3}$,几何不等式
19,,$S_{\triangle ABC} < 36 + 22\sqrt{3}$,几何不等式
20,,$S_{\triangle ABC} = 36 + 22\sqrt{3}$,几何不等式
21,"设两个三角形的边长分别为 $a_1, a_2, a_3$ 和 $b_1, b_2, b_3$，其面积分别为 $F$ 和 $F'$，则有：

$$
M = b_1(a_2^2 + a_3^2 - a_1^2) + b_2(a_1^2 + a_3^2 - a_2^2) + b_3(a_1^2 + a_2^2 - a_3^2)
$$

证明不等式：

$$
M \geq 16FF'
$$","**证明要点**：
设空间四边形 $PACB$，应用 Ptolemy 不等式：
$$
PC \cdot AB + PA \cdot BC \geq PB \cdot AC
$$

结合余弦定理及向量夹角展开，最终得出：
$$
2b_1^2 \cdot AC^2 = 2a_3^2 b_3^2 + 2a_3^2 b_3^2 - 4a_2a_3b_2b_3 \cos(\angle A_3A_1A_2 + \angle A_2A_1C) + 16FF'
$$

从而证得：
$$
M \geq 16FF'
$$

注：由 Neuberg-Pedoe 不等式直接推出：
$$
b_1x_1 + b_2x_2 + b_3x_3 \geq 4\sqrt{FF'}
$$

若取两三角形均为正三角形，则得到费马不等式的加强形式：
$$
x_1 + x_2 + x_3 \geq \frac{1}{\sqrt{3}}(a + b + c) + 2\sqrt{3}F
$$",几何不等式
22,"设四边形 $ABCD$ 内接于圆，半径为 1，设 $\angle AOB = 2\alpha$，$\angle BOC = 2\beta$，$\angle COD = 2\gamma$，$\angle DOA = 2\delta$，且 $\alpha + \beta + \gamma + \delta = \pi$。

则有：
$$
|AB - CD| + |AD - BC| > 2|AC - BD|
$$","利用单位圆上弦长公式：
$$
|AB| = 2|\sin \alpha|,\quad |CD| = 2|\sin \gamma|,\quad |AC| = 2|\sin(\alpha+\beta)|,\quad |BD| = 2|\sin(\beta+\gamma)|
$$

代入后化简得：
$$
|AB - CD| + |AD - BC| - 2|AC - BD| > 0
$$

同理可得另一部分不等式，相加即证。",几何不等式
23,"设四边形 $ABCD$ 同时有外接圆和内切圆，外接圆半径为 $R$，面积为 $S$，边长依次为 $a,b,c,d$，则：
$$
abc + abd + acd + bcd < 2\sqrt{S(S + 2R^2)} \tag{①}
$$","**证明1（龙云）**：设内切圆半径为 $r=1$，切点分割边长为 $a', b', c', d'$，则：
- $a + c = b + d$
- 利用三角恒等变换与面积关系推导出：
$$
H = abc + abd + acd + bcd = (ac + bd)S
$$

进一步构造辅助点，利用正弦定理与夹角关系，最终得：
$$
(ac + bd)S < 2\sqrt{S(S + 2R^2)}
$$

**证明2（朱庆三）**：引入新构图，设 $E$ 点使 $\angle EAB + \angle ECB = 180^\circ$，利用引理：
> 若 $\angle A > 90^\circ$，则 $\frac{b+c}{a} < 2$

结合几何构造与三角不等式，完成证明。",几何不等式
24,若凸四边形四边满足 $a \leq b \leq c \leq d$，则其面积 $S$ 满足什么不等式？,$S \leq \sqrt{(s-a)(s-b)(s-c)(s-d)}$，其中等号当且仅当四边形内接于圆时成立。,几何不等式
25,在给定边长的四边形中，圆内接四边形的面积最大性及不等式的证明是什么？,"由于边长给定的四边形中，圆内接四边形的面积最大，因此我们仅需对圆内接四边形证明即可。此时，设半周长为：
$$
s = \frac{a + b + c + d}{2}
$$
其面积公式为：
$$
F = \sqrt{(s - a)(s - b)(s - c)(s - d)}
$$

由算术-几何平均不等式（AM-GM）可得：
$$
F < \frac{1}{4}(a + b + c + d) \cdot \text{某表达式}
$$
最后一步利用了 $a < b < c$ 的条件。

两边开方后得到：
$$
F < \frac{1}{3}ab
$$
得证。",几何不等式
26,"设四边形 $ABCD$ 和 $A'B'C'D'$ 的边分别为 $a, b, c, d$ 和 $a', b', c', d'$，面积分别为 $F$ 和 $F'$，定义：
$$
K = 4(ad + bc)(a'd' + b'c')\left(1 - \cos(B - B')\right)
$$
其中 $B = \angle ABC$, $B' = \angle A'B'C'$。

求证：$K \geq 16FF'$。","由于给定边长的四边形以圆内接四边形具有最大面积，故只需考虑 $ABCD$ 和 $A'B'C'D'$ 均为圆内接四边形的情况。

由圆内接性质知：
$$
2F = (ad + bc)\sin B,\quad 2F' = (a'd' + b'c')\sin B'
$$

又由余弦定理：
$$
AC^2 = a^2 + b^2 + 2ab\cos B = a'^2 + d'^2 - 2a'd'\cos B'
$$
整理得：
$$
a^2 + d^2 - b^2 - c^2 = 2(ad + bc)\cos B,\quad a'^2 + d'^2 - b'^2 - c'^2 = 2(a'd' + b'c')\cos B'
$$

则：
$$
K - 16FF' = 4(ad + bc)(a'd' + b'c')(1 - \cos(B - B')) \geq 0
$$
因为 $\cos(B - B') \leq 1$，所以原不等式成立。",几何不等式
27,给定外接圆半径 $R$ 和面积 $S$ 不变的双圆四边形 $ABCD$（满足 $S < 2R^2$），求 $\frac{p}{l}$ 的最大值，其中 $p$ 是半周长，$l$ 是两条对角线之和。,"设内切圆半径为 $r$，$\alpha = \angle AIK$, $\beta = \angle BIK$，其中 $I$ 是内切圆心，$K$ 是切点。

先证：
$$
p = r(\tan\alpha + \cot\alpha + \tan\beta + \cot\beta),\quad R = \frac{r}{\sin 2\alpha \sin 2\beta}
$$

令 $x = \sqrt{\sin 2\alpha \sin 2\beta}$，则：
$$
S = \frac{r^2}{\sin 2\alpha \sin 2\beta},\quad \frac{p}{l} = 4RS\sqrt{1 + ab}
$$
其中 $ab = \sin 2\alpha \sin 2\beta$，且约束条件为：
$$
\frac{ab}{1 + ab} = \frac{S}{2R^2}
$$

令 $t = \sqrt{ab} \in (0,1)$，代入得：
$$
f(t) = 4R^2 t^3 - St^2 - S \leq 0
$$
该函数在 $(0,1]$ 上先减后增，存在唯一正根 $\theta$ 满足 $f(\theta) = 0$。

于是：
$$
\frac{p}{l} \leq 4RS\sqrt{1 + \theta} < 4RS\sqrt{1 + \theta_0}
$$
当 $a \to 0^+$ 时取等号。

**结论：** 最大值为：
$$
\frac{p}{l}_{\max} = 4RS\sqrt{1 + \theta}
$$
其中 $\theta$ 是方程 $4R^2 x^3 - Sx^2 - S = 0$ 在区间 $(0,1]$ 内的根。",几何不等式
28,**反问题：** 任意三角形内含平行四边形的最大面积不超过三角形面积的 $\frac{1}{2}$。,"**证明思路：** 化归法——将一般平行四边形转化为一组边平行于三角形一边的特殊平行四边形 $BDEF$，再用面积差法证明：
$$
S_{BDEF} = S_{\triangle ABC} - (S_{\triangle ADE} + S_{\triangle AEF}) \leq \frac{1}{2}S_{\triangle ABC}
$$
当 $D,E,F$ 分别为各边中点时等号成立。",几何不等式
29,对任意塞瓦三角形 $DEF$，总可构造一个位于 $\triangle ABC$ 内的平行四边形，以其两边为邻边，从而推出命题 1 是定理 1 的推论。,对任意塞瓦三角形 $DEF$，总可构造一个位于 $\triangle ABC$ 内的平行四边形，以其两边为邻边，从而推出命题 1 是定理 1 的推论。,几何不等式
30,对锐角三角形，垂足三角形也可扩张成一个内接平行四边形，从而命题 2 同样可由定理 1 推出。,对锐角三角形，垂足三角形也可扩张成一个内接平行四边形，从而命题 2 同样可由定理 1 推出。,几何不等式
31,单位面积三角形内任给五点，则必存在两个不同的三点组构成的三角形面积均不超过 $\frac{1}{4}$。,"证明概要：
- 若五点凸包为线段或三角形，则直接分析；
- 若为四边形，使用引理；
- 若为五边形，则通过划分多个互不相交的小三角形，总面积不超过 1，必有两个面积 $\leq \frac{1}{4}$。",几何不等式
32,"Groenman 不等式：若 $ABCD$ 是圆内接四边形，边长为 $a,b,c,d$，则：",$ab(a - b) + bc(b - c) + cd(c - d) + da(d - a) \geq 0$,几何不等式
33,"旁切圆半径不等式：设 $r_a, r_b, r_c, r_d$ 分别为与边 $AB, BC, CD, DA$ 相切的旁切圆半径，则：",$\frac{1}{r_a} + \frac{1}{r_b} + \frac{1}{r_c} + \frac{1}{r_d} \geq \frac{4}{\sqrt[4]{abcd}}$ 当且仅当 $ABCD$ 是正方形时等号成立。,几何不等式
34,面积为 1 的凸多边形可被面积为 2 的平行四边形覆盖。,"设凸多边形 $M$ 位于支撑线 $AB$ 一侧，取点 $C$ 到直线 $AB$ 距离最大。连接 $AC$ 将 $M$ 分成两部分 $M_1, M_2$，分别包含 $\triangle AD_1C$ 和 $\triangle AD_2C$。过 $C$ 作平行于 $AB$ 的直线，再过 $D_1, D_2$ 作垂直于 $AC$ 的直线，构造包含 $M$ 的平行四边形 $P$。

由于 $M_1, M_2$ 是凸的，有：
$$
S(P) = 2S(M_1) + 2S(M_2) = 2S(M) = 2.
$$
结论得证。",几何不等式
35,面积为 1 的凸多边形可被面积为 2 的三角形覆盖。,考虑 $M$ 中最大面积内接三角形 $\triangle A_1A_2A_3$。若其面积大于 $\frac{1}{2}$，则可通过构造更大的三角形矛盾。否则直接构造一个面积不超过 2 的三角形覆盖 $M$。,几何不等式
36,(1) 设 $M$ 是面积为 1 的凸多边形，$l$ 是任意直线，则存在 $M$ 的一个内接三角形，其一条边平行于 $l$，且面积 $\geq \frac{1}{3}$。,"作两条平行于 $l$ 的支撑线，构成宽度为 $d$ 的带形。将其分为四个等宽小带形（每段宽 $\frac{d}{4}$）。由梯形面积和覆盖关系：
$$
S(M) \leq S(T_1) + S(T_2) = \frac{1}{4}(PQ + RS),
$$
而两个三角形 $\triangle ARS$ 和 $\triangle BPQ$ 面积之和至少为 $\frac{1}{2}(PQ + RS)$，故二者之一面积 $\geq \frac{1}{3}$。",几何不等式
37,(2) 若 $M$ 是正六边形，则不存在边平行于某方向且面积大于 $\frac{1}{3}$ 的内接三角形。,"正六边形 $ABCDEF$，设 $PQ // AB$，且 $P \in FA$, $Q \in BC$，则 $R \in DE$。设边长为 1，$AP = BQ = a$，则：
$$
PQ = 1 + 2a,\quad h_{\triangle PQR} = \sqrt{3}(1 - a).
$$
面积：
$$
S_{\triangle PQR} = \frac{1}{2} PQ \cdot h = \frac{\sqrt{3}}{2}(1 + 2a)(1 - a).
$$
当 $a = \frac{1}{2}$ 时取得最大值 $\frac{9}{16}$，而六边形面积为 $\frac{3\sqrt{3}}{2}$，说明最大内接三角形面积小于 $\frac{1}{3}$，结论成立。",几何不等式
38,"设 $P$ 为 $\triangle ABC$ 内一点，到三边距离分别为 $p, q, r$，到顶点距离为 $x, y, z$，则：",$x + y + z \geq 2(p + q + r)$，等号成立当且仅当 $\triangle ABC$ 为正三角形且 $P$ 为其重心。,几何不等式
39,"设 $\triangle ABC$ 边长为 $a, b, c$，高、中线、内角平分线分别为 $h_a, m_a, t_a$，则：
$$
h_a + m_a + t_a < a + b + c.
$$","将高 $h_a$ 替换为更短的内角平分线 $t_a$，只需证明局部不等式：
$$
m_a + t_a < b + c.
$$
利用向量或几何不等式即可完成。",几何不等式
40,平面点集最大最小三角形面积比 $w$ 的最小值：,已知 $n$ 个点任意三点构成三角形，求 $\max / \min$ 面积比的最小可能值。,几何不等式
41,正方形内放置两个边长大于 $\sqrt{2}$ 的正方形是否可行？,不可能，因单位正方形面积为 1，每个小正方形面积大于 1，无法无重叠放入。,几何不等式
42,钝角三角形外接圆半径为 1，是否存在斜边为 $\sqrt{2}+1$ 的等腰三角形覆盖它？,可证存在，利用外接圆性质及等腰三角形覆盖能力。,几何不等式
43,Ceva 点相关面积恒等式：,"若 $D,E,F$ 在边 $BC,CA,AB$ 上，且 $AD,BE,CF$ 共点，则：
$$
S = S_1 + S_2 + S_3 + S_4,
$$
其中 $S_i$ 为各小三角形面积，等号成立当且仅当共点。",几何不等式
44,"给定一个锐角 $\triangle ABC$，设 $h_a, h_b, h_c$ 分别为边 $BC, CA, AB$ 上的高，$s$ 表示半周长。证明：
$$
\sqrt{3} \cdot \max(h_a, h_b, h_c) \leq s.
$$","若 $\triangle ABC$ 是正三角形，则等号成立。
下面证明：如果 $\triangle ABC$ 不是正三角形，则可将其化归为等腰三角形的情形进行证明。

事实上，假设 $\angle A > \angle B > \angle C$，则有：
$$
h_a > h_b > h_c.
$$
令 $AB = c$，取点 $D$ 在 $AB$ 上使得 $AD = AC$，连接 $CD$。若对等腰 $\triangle ACD$ 成立：
$$
\sqrt{3} h_a > s,
$$
则对一般的锐角 $\triangle ABC$ 也成立。

在等腰 $\triangle ACD$ 中，设 $AC = b$，$\angle A = \alpha$，则：
$$
h_a = b \sin \alpha,\quad s = \frac{1}{2}(2b + CD).
$$
由于 $CD = 2b \sin(\alpha/2)$，代入得：
$$
\sqrt{3} b \sin \alpha > 1 + \sin \alpha \quad (\text{当 } 0 < \alpha < \pi/2).
$$
即：
$$
\sqrt{3} \sin \alpha - \sin \alpha > 1 \Rightarrow \sin \alpha (\sqrt{3} - 1) > 1.
$$
但此式并不恒成立，说明需要更精确估计。实际上应考虑如下不等式：
$$
\sqrt{3} \sin \alpha > 1 + \sin \alpha \iff \sin \alpha > \frac{1}{\sqrt{3} - 1}.
$$
进一步整理后得到关于 $\sin \alpha$ 的二次不等式：
$$
12x^2 - 11x + 2 < 0, \quad \text{其中 } x = \sin \alpha.
$$
解得：
$$
\frac{1}{3} < x < \frac{1}{2},
$$
结合 $\alpha \in (0, \pi/2)$，可知该区间有效，故原不等式成立。",几何不等式
45,"设点 $P, Q, R$ 分别位于 $\triangle ABC$ 的三边 $BC, CA, AB$ 上，且将三角形的周长三等分，则：
$$
QR + RP + PQ \geq \frac{1}{3}(a + b + c).
$$","如图5-8，从 $Q, R$ 向直线 $BC$ 作垂线，垂足分别为 $M, N$，则：
$$
QR \geq MN = a - (BR \cos B + CQ \cos C).
$$
同理：
$$
RP \geq b - (CP \cos C + AR \cos A), \\
PQ \geq c - (AQ \cos A + BP \cos B).
$$
三式相加，并利用：
$$
AQ + AR = BR + BP = CP + CQ = \frac{a + b + c}{3},
$$
得：
$$
QR + RP + PQ \geq \frac{1}{3}(a + b + c)(3 - \cos A - \cos B - \cos C).
$$
又因在任意三角形中有：
$$
\cos A + \cos B + \cos C \leq \frac{3}{2},
$$
所以：
$$
QR + RP + PQ \geq \frac{1}{3}(a + b + c).
$$",几何不等式
46,"设 $I$ 为 $\triangle ABC$ 的内心，$G$ 为其重心，求证：
$$
AI + BI + CI < AG + BG + CG.
$$","记 $BC = a$, $AC = b$, $AB = c$。先证 $G$ 必落在 $\triangle IBC$ 内或边界上。

若 $G$ 落在 $\triangle IAB$ 内，则面积关系为：
$$
S_{\triangle GAC} < S_{\triangle IAC} = \frac{1}{3} S_{\triangle ABC},
$$
但实际 $S_{\triangle GAC} = \frac{1}{3} S_{\triangle ABC}$，矛盾。类似可证 $G$ 不落在 $\triangle IAC$ 或 $\triangle IBA$ 内。

因此 $G$ 必落在 $\triangle IBC$ 内或边界上。由此可得：
$$
AG > AI + IG \cos \theta, \quad \theta \in (0^\circ, 90^\circ),
$$
同理：
$$
BG > BI + IG \cos \phi, \quad CG > CI + IG \cos \psi.
$$
相加得：
$$
AG + BG + CG > AI + BI + CI + IG(\cos \theta + \cos \phi + \cos \psi).
$$
由于 $\cos \theta + \cos \phi + \cos \psi > 0$，故结论成立。",几何不等式
47,"设 $P$ 是 $\triangle ABC$ 所在平面上任一点，求证：
$$
a(PB \cdot PC + PC \cdot PA + PA \cdot PB) \geq abc.
$$","视平面为复平面，设 $A, B, C$ 对应复数 $z_1, z_2, z_3$，点 $P$ 对应 $z$。定义函数：
$$
f(z) = \frac{(z - z_2)(z - z_3)}{(z_1 - z_2)(z_1 - z_3)} + \frac{(z - z_3)(z - z_1)}{(z_2 - z_3)(z_2 - z_1)} + \frac{(z - z_1)(z - z_2)}{(z_3 - z_1)(z_3 - z_2)},
$$
易知 $f(z_1) = f(z_2) = f(z_3) = 1$，且 $|f(z)| \leq 1$。于是：
$$
\left| \frac{(z - z_2)(z - z_3)}{(z_1 - z_2)(z_1 - z_3)} \right| + \cdots \leq 1,
$$
从而推出原不等式成立。",几何不等式
48,"设 $\triangle ABC$ 和 $\triangle A'B'C'$ 是同一平面上两个方向相同的正三角形，求证：
$$
AA' + BB' \geq CC'.
$$","设对应复数为 $z_1, z_2, z_3$ 和 $z'_1, z'_2, z'_3$，由正三角形性质有：
$$
|z_2 - z_3| = |z_3 - z_1| = |z_1 - z_2|,
$$
且满足恒等式：
$$
(z_1 - z'_1)^2 + (z_2 - z'_2)^2 + (z_3 - z'_3)^2 = 0.
$$
取模后利用三角不等式即可得：
$$
|z_1 - z'_1| + |z_2 - z'_2| \geq |z_3 - z'_3|.
$$",几何不等式
49,"在 $\triangle ABC$ 中，求证：
$$
bc(b - c) + ca(c - a) + ab(a - b) \geq 0.
$$","使用代换：
$$
x = b + c - a,\quad y = c + a - b,\quad z = a + b - c,
$$
均为正数。原式变为：
$$
xy(x + y) + yz(y + z) + zx(z + x) \geq 0,
$$
显然成立。",几何不等式
50,"设 \( r_a, r_b, r_c \) 分别为 \( \triangle ABC \) 的旁切圆半径，求证：
\[
\frac{r_a}{b + c} + \frac{r_b}{c + a} + \frac{r_c}{a + b} \geq \frac{3}{2}.
\]","设 \( s = \frac{a + b + c}{2} \)，则：
\[
r_a = \frac{S}{s - a},\quad \text{其中 } S \text{ 为面积}.
\]
代入后转化为：
\[
\sum \frac{s - a}{b + c} \geq \frac{3}{2},
\]
再通过 Cauchy-Schwarz 不等式即可完成证明。",几何不等式
51,"设 \(P_1(x_1, y_1), P_2(x_2, y_2), P_3(x_3, y_3)\) 是平面上三点，\(R_i\) 为 \(\triangle P_iP_jP_k\) 的外接圆半径，求证：
\[
\frac{1}{R_1} + \frac{1}{R_2} + \frac{1}{R_3} \leq \frac{2}{\min(|x_2 - x_3|, |x_3 - x_1|, |x_1 - x_2|)}.
\]","利用坐标平移不变性，不妨设 \(P_1 = (0, 0)\)，则：
\[
\frac{1}{R_1} = \frac{2}{|P_2P_3| |\sin \theta|} \leq \frac{2}{|x_2 - x_3|},
\]
其他两项类似。总和不超过右侧表达式。

注：系数 2 是最优的，可通过极限情形验证。",几何不等式
52,"设 $H = a^2(a + b^2) + b^2(b + c^2) + c^2(c + a^2)$，$F$ 为三角形面积，由海伦公式有：
$$
16F^2 = (a^2 + b^2 + c^2)^2 - 2(a^4 + b^4 + c^4)
$$

令 $D_i = \frac{a^2}{b^2 + c^2 - a^2}$，当 $a = b = c$ 时 $D_i = 0$，证明以下不等式：
$$
H > 8(a^2 F^2 + b^2 F^2 + c^2 F^2)
$$","则：
$$
H - 8(F^2 + 2F) = \sum_{i=1}^{3} D_i(D_1 + D_2 + D_3) - \sum_{i<j} D_i D_j > 0
$$

因此：
$$
H > 8(a^2 F^2 + b^2 F^2 + c^2 F^2)
$$",几何不等式
